NJ,ZYMC,YHDM
2011,语言文学类13,105546
2011,语言文学类13,106929
2011,语言文学类13,106987
2011,语言文学类13,106985
2011,语言文学类13,105527
2011,语言文学类13,105451
2011,工科大类04,105677
2011,工科大类04,105441
2011,工科大类04,107142
2011,工科大类04,109727
2011,工科大类04,105596
2011,工科大类04,105451
2011,工科大类04,105426
2011,工科大类04,105468
2011,工科大类04,105497
2011,工科大类04,105584
2011,工科大类04,107668
2011,工科大类04,106570
2011,工科大类04,105492
2011,工科大类04,105731
2011,工科大类04,105431
2011,工科大类04,105475
2011,工科大类04,105444
2011,工科大类04,107169
2011,工科大类04,105610
